Title,Image_Path,Curriculum_Path,Certificate_Path,Description
Tensorflow Developer,./images/Certification_Images/Tensorflow.jpg,https://www.tensorflow.org/extras/cert/TF_Certificate_Candidate_Handbook.pdf,./pdf/Certification_pdfs/TensorFlow_Dev_Certification.pdf,"This certificate exam tests a developers' foundational knowledge of integrating machine learning into tools and applications. The certificate program requires an understanding of building TensorFlow models using Computer Vision, Convolutional Neural Networks, Natural Language Processing, and real-world image data and strategies."
GAN Specialization,./images/Certification_Images/Deep_Learning_AI_GAN_Lead.jpg,https://www.deeplearning.ai/program/generative-adversarial-networks-gans-specialization/,./pdf/Certification_pdfs/GAN_Specialization_Certificates_Combined.pdf,"A five course specialization focusing on the field of Deep Learning offered by DeepLearning.AI and Coursera. In the five course program, a full treatment of deep learning is provided covering everything from scratch implementations to modern frameworks such as TensorFlow."
Deep Learning Specialization,./images/Certification_Images/Deep_Learning_AI_DL_Specialization.jpg,https://www.deeplearning.ai/program/deep-learning-specialization/,./pdf/Certification_pdfs/Deep_Learning_Specialization_Certificates_Combined.pdf,"A five-course specialization offered by DeepLearning.AI and Coursera. The Generative Adversarial Networks (GANs) Specialization provides an exciting introduction to image generation with GANs, charting a path from foundational concepts to advanced techniques through an easy-to-understand approach."
TensorFlow Developer Professional,./images/Certification_Images/TensorFlow_Certififcate_Coursera_Logo.png,https://www.coursera.org/professional-certificates/tensorflow-in-practice,./pdf/Certification_pdfs/Coursera_TF_Certification_Combined.pdf,"In this hands-on, four-course Professional Certificate program, students learn the necessary tools to build scalable AI-powered applications with TensorFlow. This program helps prepare individuals for the Google TensorFlow Certificate exam and bring you one step closer to achieving the Google TensorFlow Certificate."
Bloomberg Markets,./images/Certification_Images/Bloomberg.png,https://www.bloomberg.com/professional/expertise/students/,./pdf/Certification_pdfs/bloomberg_certification.pdf,"Bloomberg Market Concepts (BMC) is a 10-hour course that provides an interactive introduction to the financial markets using Bloomberg Terminals. BMC consists of 6 sections, Core Concepts, Economic Indicators, Currencies, Fixed Income, Equities, and Portfolio Management. The sections are woven together from Bloomberg data, news, analytics, and television."
Factset Core,./images/Certification_Images/Factset_Core_Certification.png,https://www.factset.com/hubfs/Website/Website_Services/Client%20Support%20and%20Learning/FactSet%20Certification.pdf,./pdf/Certification_pdfs/Factset_Core_Certification.pdf,"A four-hour course taught by FactSet on the utilization of the FactSet technology platform and product suite. Topics covered include Navigating FactSet, Staying on Top of the Markets, Equities, and Fixed Income. The program was designed to demonstrate an individual has attained a certain level of expertise with different FactSet products across multiple asset classes."
Factset Portfolio Analytics,./images/Certification_Images/Factset_Portfolio_Analysis_Certification.png,https://www.factset.com/hubfs/Website/Website_Services/Client%20Support%20and%20Learning/FactSet%20Certification.pdf,./pdf/Certification_pdfs/Factset_Portfolio_Analysis_Certification.pdf,A four-part course with a comprehensive exam covering the process of portfolio analysis utilizing Factset's product suite. Particular focus is paid to performance attribution as well as decision making based upon underlying analysis.
